GameDate,QuarterTime,Offense,Defense,Down,ToGo,Qb,Receiver,Yards,IsIncomplete,IsIntercepted,IsTouchdown,Description
2024-09-15,Q1 11:47,HOU,CHI,2,15,7-C.STROUD,22-C.AKERS,3,False,False,False,(11:47) (SHOTGUN) 7-C.STROUD PASS SHORT MIDDLE TO 22-C.AKERS TO CHI 45 FOR 3 YARDS (49-T.EDMUNDS).
2024-10-20,Q3 11:14,PIT,NYJ,1,10,3-R.WILSON,80-D.WASHINGTON,1,False,False,False,(11:14) 3-R.WILSON PASS SHORT RIGHT TO 80-D.WASHINGTON PUSHED OB AT NYJ 38 FOR 1 YARD (56-QI.WILLIAMS).
2024-10-20,Q3 10:8,PIT,NYJ,3,5,3-R.WILSON,88-P.FREIERMUTH,21,False,False,False,(10:08) (SHOTGUN) 3-R.WILSON PASS DEEP RIGHT TO 88-P.FREIERMUTH TO NYJ 13 FOR 21 YARDS (35-J.MILLS).
2024-10-20,Q3 08:0,PIT,NYJ,2,3,3-R.WILSON,14-G.PICKENS,0,True,False,False,(8:00) 3-R.WILSON PASS INCOMPLETE SHORT LEFT TO 14-G.PICKENS (1-A.GARDNER).
2024-10-20,Q3 07:56,PIT,NYJ,3,3,3-R.WILSON,11-V.JEFFERSON,0,True,False,False,(7:56) (SHOTGUN) 3-R.WILSON PASS INCOMPLETE SHORT LEFT TO 11-V.JEFFERSON.
2024-10-27,Q3 02:40,ARI,MIA,2,7,1-K.MURRAY,6-J.CONNER,7,False,False,False,(2:40) (SHOTGUN) 1-K.MURRAY PASS SHORT LEFT TO 6-J.CONNER PUSHED OB AT MIA 22 FOR 7 YARDS (51-T.BOWSER).
2024-10-27,Q3 02:18,ARI,MIA,1,10,1-K.MURRAY,18-M.HARRISON,22,False,False,True,"(2:18) 1-K.MURRAY PASS DEEP RIGHT TO 18-M.HARRISON FOR 22 YARDS, TOUCHDOWN."
2024-11-03,Q3 01:20,CHI,ARI,4,4,18-C.WILLIAMS,13-K.ALLEN,6,False,False,False,(1:20) (SHOTGUN) 18-C.WILLIAMS PASS SHORT RIGHT TO 13-K.ALLEN PUSHED OB AT ARI 43 FOR 6 YARDS (16-M.MELTON).
2024-11-03,Q3 00:43,CHI,ARI,1,10,18-C.WILLIAMS,2-D.MOORE,0,True,False,False,(:43) 18-C.WILLIAMS PASS INCOMPLETE DEEP RIGHT TO 2-D.MOORE.
2024-11-03,Q3 00:37,CHI,ARI,2,10,18-C.WILLIAMS,2-D.MOORE,0,True,False,False,(:37) (SHOTGUN) 18-C.WILLIAMS PASS INCOMPLETE DEEP LEFT TO 2-D.MOORE.
2024-12-02,Q1 06:3,DEN,CLE,2,9,10-B.NIX,17-D.VELE,16,False,False,False,(6:03) (SHOTGUN) 10-B.NIX PASS DEEP RIGHT TO 17-D.VELE TO CLE 1 FOR 16 YARDS (58-J.HICKS).
