GameDate,QuarterTime,Offense,Defense,Down,ToGo,Runner,Yards,IsTouchdown,IsFumble,Description
2024-09-15,Q1-12:41,HOU,CHI,1,10,22-C.AKERS,0,False,False,(12:41) 22-C.AKERS RIGHT TACKLE TO CHI 43 FOR NO GAIN (49-T.EDMUNDS).
2024-10-20,Q3-10:45,PIT,NYJ,2,9,22-N.HARRIS,4,False,False,(10:45) 22-N.HARRIS RIGHT TACKLE TO NYJ 34 FOR 4 YARDS (93-T.MCKINLEY).
2024-10-20,Q3-09:19,PIT,NYJ,1,10,30-J.WARREN,10,False,False,"(9:19) 30-J.WARREN LEFT GUARD TO NYJ 3 FOR 10 YARDS (21-A.DAVIS, 35-J.MILLS)."
2024-10-20,Q3-08:41,PIT,NYJ,1,3,30-J.WARREN,0,False,False,(8:41) 30-J.WARREN LEFT GUARD TO NYJ 3 FOR NO GAIN (56-QI.WILLIAMS; 92-L.FOTU).
2024-10-27,Q3-03:20,ARI,MIA,1,10,6-J.CONNER,3,False,False,(3:20) 6-J.CONNER LEFT GUARD TO MIA 29 FOR 3 YARDS (20-J.BROOKS).
2024-11-03,Q3-02:04,CHI,ARI,3,5,23-R.JOHNSON,1,False,False,"(2:04) (SHOTGUN) 23-R.JOHNSON LEFT END TO ARI 49 FOR 1 YARD (21-G.WILLIAMS, 3-B.BAKER)."
2024-11-24,Q1-13:03,TB,NYG,2,1,1-R.WHITE,-1,False,False,"(13:03) 1-R.WHITE LEFT END TO NYG 44 FOR -1 YARDS (5-K.THIBODEAUX, 97-D.LAWRENCE)."
2024-12-02,Q1-04:59,DEN,CLE,2,1,33-J.WILLIAMS,-1,False,False,"(4:59) 79-M.PEART REPORTED IN AS ELIGIBLE.  33-J.WILLIAMS RIGHT GUARD TO CLE 2 FOR -1 YARDS (95-M.GARRETT, 97-J.BRIGGS)."
2024-12-02,Q1-05:35,DEN,CLE,1,1,38-J.MCLAUGHLIN,0,False,False,(5:35) (NO HUDDLE) 38-J.MCLAUGHLIN UP THE MIDDLE TO CLE 1 FOR NO GAIN (9-G.DELPIT).
2024-12-02,Q1-06:49,DEN,CLE,1,10,38-J.MCLAUGHLIN,1,False,False,(6:49) 38-J.MCLAUGHLIN RIGHT TACKLE TO CLE 17 FOR 1 YARD (23-M.EMERSON; 30-D.BUSH).
2024-12-02,Q1-11:07,CLE,DEN,2,4,24-N.CHUBB,0,False,False,(11:07) 24-N.CHUBB LEFT TACKLE TO DEN 29 FOR NO GAIN (0-J.COOPER; 99-Z.ALLEN).
2024-12-02,Q1-11:45,CLE,DEN,1,10,34-J.FORD,6,False,False,(11:45) (SHOTGUN) 34-J.FORD RIGHT END TO DEN 29 FOR 6 YARDS (22-B.JONES; 94-J.JACKSON).
2024-12-02,Q1-12:24,CLE,DEN,2,9,24-N.CHUBB,10,False,False,(12:24) 24-N.CHUBB UP THE MIDDLE TO DEN 35 FOR 10 YARDS (39-L.WALLACE; 22-B.JONES).
2024-12-02,Q1-13:01,CLE,DEN,1,10,24-N.CHUBB,1,False,False,"(13:01) 24-N.CHUBB RIGHT TACKLE TO DEN 45 FOR 1 YARD (40-J.STRNAD, 55-C.BARTON)."
2024-12-01,Q4-02:41,BUF,SF,3,2,22-R.DAVIS,4,False,False,"(2:41) 22-R.DAVIS RIGHT TACKLE TO SF 34 FOR 4 YARDS (27-J.BROWN, 6-M.MUSTAPHA)."
2024-12-01,Q4-04:11,BUF,SF,1,10,22-R.DAVIS,6,False,False,(4:11) 22-R.DAVIS LEFT GUARD TO SF 40 FOR 6 YARDS (7-C.WARD; 94-Y.GROSS-MATOS).
2024-12-01,Q4-10:23,BUF,SF,3,9,11-M.TRUBISKY,0,False,False,(10:23) (SHOTGUN) 11-M.TRUBISKY UP THE MIDDLE TO SF 30 FOR NO GAIN (94-Y.GROSS-MATOS).
2024-12-01,Q4-11:07,BUF,SF,2,12,22-R.DAVIS,3,False,False,(11:07) 22-R.DAVIS LEFT GUARD TO SF 30 FOR 3 YARDS (99-M.COLLINS).
2024-12-01,Q4-11:53,BUF,SF,1,20,22-R.DAVIS,8,False,False,(11:53) 22-R.DAVIS LEFT GUARD TO SF 33 FOR 8 YARDS (7-C.WARD).
