name,wins,losses,win_percent,points_scored,points_allowed,num_games,points_scored_per_game,points_allowed_per_game
Kansas City Chiefs,13,1,0.9285714285714286,292,296,14,20.857142857142858,21.142857142857142
Baltimore Ravens,9,5,0.6428571428571429,388,362,14,27.714285714285715,25.857142857142858
Philadelphia Eagles,12,2,0.8571428571428571,288,328,14,20.571428571428573,23.428571428571427
Green Bay Packers,10,4,0.7142857142857143,345,321,14,24.642857142857142,22.928571428571427
New Orleans Saints,5,9,0.35714285714285715,315,306,14,22.5,21.857142857142858
Carolina Panthers,3,11,0.21428571428571427,349,316,14,24.928571428571427,22.571428571428573
Chicago Bears,4,9,0.3076923076923077,316,216,13,24.307692307692307,16.615384615384617
Tennessee Titans,3,11,0.21428571428571427,332,301,14,23.714285714285715,21.5
Cincinnati Bengals,6,8,0.42857142857142855,364,422,14,26.0,30.142857142857142
New England Patriots,3,11,0.21428571428571427,305,270,14,21.785714285714285,19.285714285714285
Atlanta Falcons,6,7,0.46153846153846156,310,301,13,23.846153846153847,23.153846153846153
Pittsburgh Steelers,10,4,0.7142857142857143,317,284,14,22.642857142857142,20.285714285714285
Buffalo Bills,11,3,0.7857142857142857,414,341,14,29.571428571428573,24.357142857142858
Arizona Cardinals,7,7,0.5,350,270,14,25.0,19.285714285714285
New York Giants,2,12,0.14285714285714285,214,322,14,15.285714285714286,23.0
Minnesota Vikings,11,2,0.8461538461538461,307,272,13,23.615384615384617,20.923076923076923
Miami Dolphins,6,8,0.42857142857142855,314,274,14,22.428571428571427,19.571428571428573
Jacksonville Jaguars,3,11,0.21428571428571427,373,267,14,26.642857142857142,19.071428571428573
Indianapolis Colts,6,8,0.42857142857142855,313,296,14,22.357142857142858,21.142857142857142
Houston Texans,9,5,0.6428571428571429,316,312,14,22.571428571428573,22.285714285714285
Los Angeles Chargers,8,6,0.5714285714285714,257,284,14,18.357142857142858,20.285714285714285
Las Vegas Raiders,2,11,0.15384615384615385,315,282,13,24.23076923076923,21.692307692307693
Seattle Seahawks,8,6,0.5714285714285714,285,343,14,20.357142857142858,24.5
Denver Broncos,9,5,0.6428571428571429,322,261,14,23.0,18.642857142857142
Tampa Bay Buccaneers,8,6,0.5714285714285714,338,391,14,24.142857142857142,27.928571428571427
Washington Commanders,9,5,0.6428571428571429,389,322,14,27.785714285714285,23.0
Cleveland Browns,3,11,0.21428571428571427,306,289,14,21.857142857142858,20.642857142857142
Dallas Cowboys,6,8,0.42857142857142855,262,416,14,18.714285714285715,29.714285714285715
Detroit Lions,12,2,0.8571428571428571,381,360,14,27.214285714285715,25.714285714285715
Los Angeles Rams,8,6,0.5714285714285714,328,320,14,23.428571428571427,22.857142857142858
San Francisco 49ers,6,8,0.42857142857142855,361,273,14,25.785714285714285,19.5
New York Jets,4,10,0.2857142857142857,344,264,14,24.571428571428573,18.857142857142858
