Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,VA,2025,"11        ",Male,16,Right-Handed,180,29,170,2,Car,15,.292,40,Basketball,1000,1000,1000,1000,1000,1000,29,"Same length",9,8,"Ring finger",November,Winter,Yes,No,Meat,Water,"Physical education",7,11,3,"Yes - other","Internet chat or instant messaging",25,50,10,1,2,3,15,1,10,10,10,2,1,2,"A lot",Other,"Rap/Hip hop",Invisibility,Rich,Relative,"Wildlife, animals"
USA,OR,2025,"12        ",Female,18,Right-Handed,145,24,70,2,Car,10,0.404,49,Running/Jogging,950,950,950,950,950,950,24,"Same length",70,65,"Index finger",May,Fall,No,No,Fruit,Water,Science,6,8,4,"Yes - broadband connection","Text messaging",25,40,3,3,15,4,3,0,0,3,10,0,0,3,"A lot","Graduate degree",Jazz,Telepathy,Healthy,"Doctor or nurse",Health
USA,OR,2025,"12        ",Male,18,Right-Handed,180,28,184,3,Walk,25,0.304,43,None,800,800,800,800,1000,1000,28,"Same length",103,108,"Ring finger",November,Fall,Yes,No,Pizza/Pasta,Water,"Computers and technology",7,7,2,"Yes - broadband connection","Internet chat or instant messaging",100,100,1,0,8,2,0,0,0,4,42,0,10,0,"A lot","Graduate degree",Other,"Freeze time",Rich,Friend,"Education/Youth development"
USA,PA,2025,"11        ",Male,17,Right-Handed,185,,,1,Car,5,0.345,29,None,64,112,107,96,1000,1000,,"Same length",,,,August,Summer,Yes,No,Meat,"Soft drink (caffeinated)",History,6,8,2,"Yes - broadband connection","In person",2,1,,,,,,,,,,,,,None,"High school","Heavy metal",Fly,Happy,"Sports person",Other
USA,NC,2025,"12        ",Male,17,Left-Handed,165,25.4,175,1,Car,9,0.293,74,"Football (American)",980,970,990,960,880,800,24.5,"Same length",101.6,88.9,"Index finger",August,Summer,Yes,No,Meat,Water,History,8,7,4,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",11,11,6,5,17,20,25,3,3,2,5,0,12,4,Some,"Graduate degree","Rap/Hip hop","Freeze time",Happy,"Religious figure","Wildlife, animals"
USA,IL,2025,"12        ",Female,18,Right-Handed,162,24,150,2,Car,12,0.583,47,Golf,513,262,75,305,1000,1000,23,"Right foot",70,76,"Ring finger",December,Fall,No,No,Breads/Sandwiches,"Powdered drink",English,8,10,3,"Yes - broadband connection","Text messaging",40,20,4,,,,,,,,,,,,,,,,,,
USA,NY,2025,"11        ",Male,17,Left-Handed,182,28,175,1,Car,17,0.293,34,Tennis,,,,,,,,"Same length",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A lot","Graduate degree","Rock and roll",Fly,Happy,,Environment
USA,MA,2025,"12        ",Female,18,Right-Handed,160,23,152,1,Bus,18,0.72,42,Other,700,650,400,600,700,750,23,"Same length",75,70,"Index finger",February,Winter,Yes,No,Poultry,Water,Art,7,9,9,"Yes - other","Internet chat or instant messaging",100,100,25,45,3,10,1,4,1,7,30,35,35,2,"A lot","Some college","Rap/Hip hop","Super strength",Healthy,Friend,"International aid"
USA,MO,2025,"11        ",Male,17,Right-Handed,167,26,172,2,Car,5,.39,45,Baseball/Softball,466,356,0,287,800,800,26,"Same length",96,97,"Ring finger",May,Summer,Yes,No,Pizza/Pasta,Tea,"Mathematics and statistics",7:45,9,3,"Yes - broadband connection","In person",5,8,9,3,2,4,24,3,6,1,7,1,3,3,"Very little","Graduate degree",Country,Fly,Happy,"Business person",Religious
USA,GA,2025,"12        ",Female,18,Right-Handed,5'5,,,1,Bus,12,4,10,Baseball/Softball,400,600,500,400,900,900,,"Same length",,,"Index finger",November,Fall,No,No,Fruit,Water,"Mathematics and statistics",7,10,3,"Yes - other","Cell phone",50,100,50,40,40,50,20,0,9,48,50,0,30,10,Some,Other,Other,Telepathy,Rich,"Business person",Religious
USA,WI,2025,"9         ",Male,14,Right-Handed,172.7,28.58,171.5,1,Bus,39,0.353,37,Swimming,845,631,508,695,1000,1000,28.58,"Same length",82.55,88.9,"Ring finger",June,Fall,Yes,No,Pizza/Pasta,Water,History,6,4,6,"Yes - broadband connection","Text messaging",12,20,12,6,1,6,3,6,12,2,3,2,0,6,Some,"Graduate degree",Pop,Invisibility,Rich,Friend,"Arts, culture, sports"
USA,PA,2025,"12        ",Male,18,Right-Handed,167,27,170,1,Car,5,0.316,37,Tennis,604,615,487,733,914,909,27,"Same length",70,78,"Ring finger",April,Spring,No,No,Meat,Milk,Science,6,9,3,"Yes - other","Internet chat or instant messaging",50,30,20,1,0,4,3,6,0,5,10,0,25,2,Some,"Undergraduate degree","Heavy metal",Fly,Happy,"Musician or singer","Arts, culture, sports"
USA,AK,2025,"12        ",Male,17,Right-Handed,162,24,162,2,Car,15,0.197,58,Baseball/Softball,727,503,513,893,599,599,24,"Right foot",7,3,"Index finger",January,Winter,No,No,"No favorite","Soft drink (non-caffeinated)",Other,7,12,4,"Yes - broadband connection","Text messaging",4,12,14,1,4,6,7,45,3,2,45,1,0,2,"Very little",Other,"Rap/Hip hop",Telepathy,Rich,"Coach or club leader","Wildlife, animals"
USA,WI,2025,"9         ",Female,15,Right-Handed," 152 ",17,163,1,Bus,15,.708,40,Athletics,781,508,652,754,0,0,18,"Left foot",60,7,"Ring finger",September,Fall,No,No,Meat,Water,History,5,3,3,"Yes - other","Myspace, Facebook, other social networking sites, or blog",60,80,8,4,1,2,4,0,7,6,4,0,8,4,"A lot","Some college",Country,Invisibility,Happy,"Sports person","Education/Youth development"
